scanner,symbol,provider,providerName,publishedUtc,headline,url,articleId
top_trade_rate,MU,FINNHUB,Finnhub,2026-01-05T03:52:03+00:00,"Dow Jones Futures: Muted Reaction To Trump's Venezuela Move; Nvidia, AMD, Taiwan Semi Due",https://finnhub.io/api/news?id=0c030641224ed2362983318ff2d43fad71c0f9c820e2aae92b03a643f0977a7a,137985557
top_trade_rate,NVDA,FINNHUB,Finnhub,2026-01-05T03:52:03+00:00,"Dow Jones Futures: Muted Reaction To Trump's Venezuela Move; Nvidia, AMD, Taiwan Semi Due",https://finnhub.io/api/news?id=0c030641224ed2362983318ff2d43fad71c0f9c820e2aae92b03a643f0977a7a,137985557
top_trade_rate,APH,FINNHUB,Finnhub,2026-01-05T03:52:03+00:00,"Dow Jones Futures: Muted Reaction To Trump's Venezuela Move; Nvidia, AMD, Taiwan Semi Due",https://finnhub.io/api/news?id=0c030641224ed2362983318ff2d43fad71c0f9c820e2aae92b03a643f0977a7a,137985557
top_trade_rate,NVDA,FINNHUB,Finnhub,2026-01-05T03:51:43+00:00,TSMC Shares Jump Most Since April After Goldman Lifts Target 35%,https://finnhub.io/api/news?id=a2cedc6ab8ed248b54212f20a71fbf926a97141bf7cb762a2bb394e79d6fb8d2,137985558
top_trade_rate,NVDA,FINNHUB,Finnhub,2026-01-05T03:51:00+00:00,Ready to Buy Nvidia Stock? Check Out This Option.,https://finnhub.io/api/news?id=178b7efaad6127da0252233aa0e33bee49fa68e6e37ef60a093e54cf52b74c84,137985559
top_trade_rate,APH,FINNHUB,Finnhub,2026-01-05T02:11:39+00:00,Is It Too Late To Consider Amphenol After Its 101% Surge?,https://finnhub.io/api/news?id=aa93298c16c89530f7e64214f94b2eb547c9e77d095913ee3a95a3948d999167,137986292
top_trade_rate,NVDA,FINNHUB,Finnhub,2026-01-05T02:02:52+00:00,Markets show mixed reaction after US capture of Venezuelan leader,https://finnhub.io/api/news?id=1e40527124dcd37c08544653b6a2f1c7e8df2590f869ecf3e7aecb587d4a7916,137985560
top_trade_rate,TSLA,FINNHUB,Finnhub,2026-01-05T02:02:52+00:00,Markets show mixed reaction after US capture of Venezuelan leader,https://finnhub.io/api/news?id=1e40527124dcd37c08544653b6a2f1c7e8df2590f869ecf3e7aecb587d4a7916,137985560
top_trade_rate,VLO,FINNHUB,Finnhub,2026-01-05T01:43:53+00:00,Maduro Vs. Noriega: What History Means For Markets,https://finnhub.io/api/news?id=917f2a798f39513382e947952e9daf189afead5f398a6de6b11af32644431a47,137988203
top_trade_rate,TSLA,FINNHUB,Finnhub,2026-01-05T00:13:17+00:00,Tesla (TSLA) Valuation Check After Recent Share Price Drift,https://finnhub.io/api/news?id=5e948c3094dda416cd80eb5ee289a4e76aa3c101bc552140d0b6519255e38b31,137985718
top_trade_rate,NVDA,FINNHUB,Finnhub,2026-01-04T23:56:34+00:00,"Stock market today: Dow, S&P 500, Nasdaq futures inch up after US intervention in Venezuela, arrest of Maduro",https://finnhub.io/api/news?id=bcb283487cba88f65df26083eeb23f210744d03cb72d324a036059d8082dda5b,137985561
top_trade_rate,NVDA,FINNHUB,Finnhub,2026-01-04T23:30:00+00:00,My Top 5 Stock Market Predictions for 2026,https://finnhub.io/api/news?id=d13c698247fdfd202b332a5440dffceafc3a600962c62cdb9fe2ba9d45127790,137985562
top_trade_rate,TSLA,FINNHUB,Finnhub,2026-01-04T23:16:50+00:00,Tesla (TSLA) Is Down 7.8% After BYD Takes EV Crown And Deliveries Fall Again - What's Changed,https://finnhub.io/api/news?id=7735354871f03f2c3bac7cbaa0890dbb4a91db7323ca5e43892dbc4b9c1102b0,137985719
top_trade_rate,AVGO,FINNHUB,Finnhub,2026-01-04T23:16:42+00:00,Broadcom (AVGO): Assessing Valuation After Recent Share Price Softness and Multi‑Year Run,https://finnhub.io/api/news?id=0f04e9f1fda206f6082501e7ab175434fa719c8399ee322388acf81abe2e21e1,137985657
top_trade_rate,MU,FINNHUB,Finnhub,2026-01-04T23:15:39+00:00,Is It Too Late to Consider Micron After a 252.1% Surge on AI Optimism in 2026,https://finnhub.io/api/news?id=455428f92c0b821d12fac931bd2b5f5479e201136d34bbf0ec14d84d54a8ec3a,137985953
